id,filename,speaker,tags,transcription
102,BIGLOIN.mp3,plowboy,"big loin, plowboy, loin",it was kind of a big loin
103,BIGMAN.wav,charlie,"big man, call in, sfw",why dont you call in big man
104,BIGMAN(DANNYMAC).wav,danny mac,"big man, danny mac, dan",do it yourself big man!
105,BIGONE.wav,plowboy,big one,its a big one
106,BIGSAUSAGE.mp3,alpena,"big sausage, alpena",do you wanna get a big sausage tonight?
107,BIGTWIG.wav,darren pang,"twig, pang, hockey",he got the big large twig on that one!
108,BIRTHDAYDRUNK.mp3,larry,"drunk, larry, birthday","cuz its my birthday today, I might get drunk"
109,BISCUIT.wav,Rich from Maryland Heights,"rich, maryland heights, biscuit, delightful, mcdonalds","when you get a nice fresh biscuit, its delightful"
110,BISEXUALFRIENDS.mp3,katie kay,"bisexual, katie kay",my best friend in college is bisexual
111,BITOFAFUSS.wav,willy,"fuss, morning","youre in a bit of a fuss this morning, arent ya"
112,BITCHESDIGME.mp3,tim,"dig, bitches",man bitches dig me
113,BLACKGENTLEMAN.mp3,doug,"black gentleman, manchild, toe ring",shes looking for a black gentleman
114,BLACKMAN.wav,tim,"black man, manchild, toe ring",have you ever been with a black man?
115,BLACKQUARTERBACKS.mp3,jay jr,"jay, african american, quarterback","if youre drunk at 2 in the morning and wanna be with an african american quarterback, heres my number"
116,BLACKHAWKS=LESBIANISM.mp3,tim,"lesbian, lesbianism, blackhawks",the blackhawks provide the most likely scenario for lesbianism
117,BLONDTH.wav,tim,blond,blondth
118,BLOWDOUGSTOP-LARRY.mp3,larry,"larry, top",I was trying to get doug to blow his top
119,BLUESDIDIT.mp3,tim,blues,"well doug, the blues did it"
120,BLUFFING.mp3,unknown man,bluffing,you think Im bluffing?
121,BOHART.mp3,tim,"bo hart, tattoo, ass cheek",I have a bo hart on my left asscheek
122,BOHART.wav,doug,bo hart,bo hart was a heckuva player
123,BOBHOPEOFSPORTSTALK.mp3,tim,"bob hope, radio",hes the bob hope of local sports talk
124,BOBBYVESTALSUCKS.mp3,timberfake,"bobby vestal, bobby bestal, timberfake, sucks",bobby vestal that guy sucks
125,BOOBAGE.mp3,unknown woman,boobs,a lot of boobage
126,BOOBSGALORE.mp3,jay jr,boobs ,shes got boobs galore
127,BOOM-SHAKA-LAKA.wav,joe roderick,boom shaka laka,"boom shaka laka, I got a hand, thatll rock your cradle"
128,BOOZEDUP.mp3,tim,"boozed, booze, drunk, party",just get really boozed up
129,BOSSYCHATTERBOX.wav,cat,"bossy, chatterbox, talkative",youre a bossy chatterbox
130,BOTHOFTHEM.mp3,tim,"both, bofem",bof of em
131,BOUNTIFULLOIN.mp3,cat,"loin, bountiful, cat",you happen to have a bountiful loin
